"id","標題","說明","例題","問法"
"S70021","國家與政府的區別","說明國家與政府的基本概念與差異，並探討政府施政對人民的影響。","國家是整體主權體系，政府是治理機構。","政府是國家嗎？｜我們的政府為什麼重要？｜政府有責任讓人民幸福嗎？"
"S70022","權力分立原則","認識民主國家中權力分立的原則與其對防止權力濫用的作用。","我國採三權分立制度：立法、行政、司法。","為什麼要分權？｜不分權會怎樣？｜三權可以互相干涉嗎？"
"S70023","政府職權與憲法依據","說明政府各部門的職權劃分，並認識其依法行政的憲政原則。","立法院制定法律，行政院執行政策。","政府的工作誰說了算？｜憲法怎麼限制政府？｜誰負責行政？誰負責立法？"
"S70024","中央與地方政府組成","介紹中華民國中央政府與地方政府的組織架構與分工。","中央政府設有五院，地方政府有直轄市與縣市。","中央政府有哪些部門？｜地方政府是做什麼的？｜市長是中央的官嗎？"
"S70025","法治與人治的區別","說明法治社會以法律為最高原則，而非依賴個人意志治理。","法治社會中，即使是總統也必須遵守憲法與法律。","什麼是法治？｜人治為什麼不好？｜法治有什麼保障？"
"S70026","法律的位階制度","介紹中華民國法律體系中憲法、法律與命令的位階差異與適用原則。","命令不能違反法律，法律不能違反憲法。","為什麼憲法最大？｜命令可以隨便訂嗎？｜什麼叫做法律位階？"
"S70027","特殊法與一般法之異","說明基本法（如《原住民族基本法》）與一般法律的適用關係與保障功能。","《原住民族基本法》提供特定族群特別保障。","原住民有專屬法律嗎？｜特殊法是什麼？｜特殊法和憲法有衝突嗎？"
"S70028","憲法作為權利保障書","強調憲法保障人民基本權利的作用，並介紹其在法治社會中的核心地位。","憲法保障人民言論、信仰與遷徙等自由。","憲法有什麼用？｜為什麼說憲法是保障書？｜憲法保障我什麼？"
"S70029","行政法與日常生活","介紹行政法如何規範日常生活與民眾權益保障，並說明依法行政的重要性。","建築執照、交通罰單等都屬於行政法範圍。","行政法和我有什麼關係？｜為什麼政府不能亂來？｜什麼叫依法行政？"
"S70030","行政救濟與權利保護","說明人民在行政處分中若權益受損時，可以如何申訴與救濟。","若不服學校處分，可向教育局提出申訴。","不公平怎麼辦？｜政府做錯我可以告嗎？｜什麼是行政救濟？"
"S70031","刑法的意義與明文規定","介紹刑法的重要性與明文規定原則，強調行為時法有明文才能處罰。","《刑法》規定竊盜行為須負刑責，且不得追溯既往。","為什麼不能事後訂法律來罰人？｜刑法和民法差在哪？｜犯錯就一定犯法嗎？"
"S70032","刑罰目的與種類","說明刑罰的功能，如懲罰、防止犯罪與保護社會安全，以及我國常見的刑罰種類。","我國常見刑罰有拘役、罰金、有期徒刑等。","刑罰是為了報復嗎？｜罰金也是刑罰？｜坐牢有幾種？"
"S70033","偵查與審判流程","介紹警察、檢察官、法官在犯罪偵辦與審判過程中的角色與權限。","警察負責調查，檢察官提起公訴，法官負責判決。","誰可以抓人？｜犯人怎麼被起訴的？｜法官可以隨便判嗎？"
"S70034","契約的成立與效力","說明契約在雙方合意下即成立原則，並介紹契約不履行的法律後果。","買東西時只要店家點頭收錢，交易就已成立。","為什麼口頭答應也算數？｜不履行契約會怎樣？｜契約一定要寫下來嗎？"
"S70035","代理與限制行為能力人","介紹限制行為能力人的契約須經法定代理人同意的法律規定。","未成年學生訂手機門號需家長簽署同意。","我自己能簽約嗎？｜什麼是限制行為能力人？｜為什麼要有代理人？"
"S70036","侵權行為的責任","說明侵權行為的定義與加害人應負的法律責任。","毀損他人財物需負損害賠償責任。","什麼是侵權？｜故意害人一定要賠嗎？｜小孩也會負責嗎？"
"S70037","智慧財產權的保障","介紹著作權等智慧財產權在法律上的保障及合理使用的規範。","轉載他人作品需註明出處或取得授權。","網路上的圖可以亂用嗎？｜著作權保護什麼？｜合理使用是什麼意思？"
"S70038","民事糾紛的解決方式","說明民事紛爭可透過調解、訴訟等管道解決，並比較其優缺點。","鄰里土地糾紛先透過調解委員會協商處理。","打官司要花很多錢嗎？｜不打官司還能怎麼辦？｜什麼是調解？"
"S70039","兒少法律保障概念","說明兒童及少年應受特殊法律保護的原因與相關法律依據。","《兒童及少年福利與權益保障法》保障兒少免受暴力與剝削。","為什麼要特別保護兒少？｜兒少有什麼法律保障？｜保護和限制有什麼不同？"
"S70040","保護兒少的法律與措施","介紹中華民國針對兒少制定的重要法律與保護措施。","學校應依《性別平等教育法》處理學生間性騷擾事件。","有什麼法保護學生？｜遇到問題要找誰？｜學校有保護義務嗎？"
"S70041","選擇與資源分配","說明資源有限時個人與家庭必須做選擇，並學習選擇的方法。","家庭需決定旅遊或購書的預算分配。","為什麼不是想要就有？｜怎麼選才最好？｜資源有限是什麼意思？"
"S70042","機會成本概念","解釋選擇行為中所放棄的最大價值項目即為機會成本。","選擇補習就犧牲了打工的機會。","機會成本是什麼？｜放棄的那個叫什麼？｜怎麼知道選哪個好？"
"S70043","機會成本應用","將機會成本概念實際應用於生活中的選擇情境。","花錢買手機等於放棄儲蓄或其他消費。","這樣花錢值得嗎？｜選一樣會失去什麼？｜機會成本可以量嗎？"
"S70044","價格與資源分配","說明市場價格如何影響資源的供需分配。","口罩價格上升時，需求減少，供應增加。","價格怎麼影響市場？｜貴的就少人買？｜誰決定價格？"
"S70045","分配方式的比較","比較市場交易、政府分配、抽籤等不同資源分配方式的優缺點。","抽籤分配社會住宅與市場競價有不同公平性問題。","用抽的好還是買的好？｜政府怎麼分資源？｜分配方式哪個公平？"
"S70046","誘惑與行為影響","說明誘惑如何影響人們判斷與行為，並探討其背後的心理動機。","看到廣告誘惑容易衝動購買。","誘惑怎麼讓我改變想法？｜為什麼會受影響？｜廣告算誘惑嗎？"
"S70047","對誘惑反應的差異","探討不同人面對相同誘惑時的反應差異及其成因。","有些人能克制購物慾，有些人無法。","為什麼別人能忍我不能？｜誰比較容易受誘惑？｜這是性格問題嗎？"
"S70048","交易與需求解決","說明個人與家庭透過交易來解決生活所需的原理。","用金錢換食物、衣物以滿足生活需求。","為什麼要交易？｜不交易可以嗎？｜生活需求怎麼解決？"
"S70049","從自給自足到交易","介紹社會從自給自足轉向分工與交易的歷史與原因。","早期農村家庭自行耕作與編織，後來轉為專業分工。","以前為什麼不交易？｜分工和交易有關嗎？｜自己做和買哪個好？"
"S70050","雙贏的交易原理","說明交易為何對雙方有利，並介紹互利共贏的原則。","用蘋果換香蕉讓雙方都獲得需要。","為什麼交易會雙贏？｜有人會吃虧嗎？｜要怎樣才算公平？"
"S70051","國際貿易的利弊","介紹臺灣參與國際貿易的原因與開放進口所帶來的利益與挑戰。","開放進口水果可增加選擇但可能衝擊本土農業。","為什麼要進口？｜外國東西比較好嗎？｜貿易對我們有什麼影響？"
"S70052","貨幣的起源與功能","說明貨幣為解決以物易物的限制而產生，具備交易媒介、價值尺度等功能。","以錢幣取代以物換物，提升交易效率。","貨幣為什麼會出現？｜貨幣有什麼用？｜以前怎麼交易？"
"S70053","儲值卡與貨幣差異","介紹儲值卡的使用與現金交易的不同，強調儲值卡的局限性。","悠遊卡可搭捷運但不能用來儲蓄或轉帳。","儲值卡是錢嗎？｜為什麼儲值卡不能轉帳？｜我可以只用儲值卡生活嗎？"
"S70054","信用卡與儲值卡的差異","比較信用卡先付款後還款與儲值卡先儲值後使用的運作機制。","信用卡可先消費後繳款，儲值卡則須預先儲值。","信用卡是借錢嗎？｜兩種卡有什麼不同？｜哪個比較安全？"
"S70055","外幣與銀行功能","說明外幣交易與銀行角色，並探討哪些人有使用外幣的需求。","企業進出口、出國旅遊需兌換外幣。","為什麼要換外幣？｜誰會用到外幣？｜銀行怎麼換錢？"
"S80001","非暴力解決公共爭議","說明面對日常公共事務的爭議時，應以理性、非暴力方式解決。","學生對校園規定有意見時可透過班會或建議箱表達。","遇到不公平可以抗議嗎？｜非暴力是什麼？｜吵架能解決事情嗎？"
"S80002","公民參與政策制定","說明行政機關在決策時應提供人民參與與表達意見的機會。","環保政策推行前舉辦公聽會蒐集民意。","政府為什麼要聽民眾的？｜怎麼參與政策？｜學生也能參與嗎？"
"S80003","中學生參與校務決策","探討中學生可如何參與學校公共事務的決策程序。","參加學生會、班級代表會議可表達意見與建議。","我能改變學校的規定嗎？｜學生會在幹嘛？｜學校會聽學生的嗎？"
"S80004","公共意見的形成過程","介紹民主社會中公共意見如何形成及其基本特性。","選前民調反映社會上多數人對候選人的偏好。","什麼是公共意見？｜大家說的就是對的嗎？｜為什麼要看民調？"
"S80005","媒體與網路在公共意見的角色","分析媒體與社群網路如何影響公共意見的形成與傳播。","網路新聞與留言常影響人們對議題的態度與行動。","媒體會帶風向嗎？｜社群平台能改變輿論？｜我們怎麼判斷真假？"
"S80006","政治參與的重要性","說明政治參與對民主社會的意義與個人責任。","公民透過選舉影響國家政策與政府組成。","為什麼要關心政治？｜政治跟我有什麼關係？｜參與政治有用嗎？"
"S80007","投票作為政治參與方式","介紹投票在民主制度中的功能與實施原因。","透過公民投票決定是否廢除某項法案。","投票是唯一的參與方式嗎？｜為什麼要投票？｜不投票會怎樣？"
"S80008","公平投票的基本原則","說明民主制度中自由、公平、秘密投票的基本原則。","選舉過程中保障不記名投票以避免威脅與賄選。","投票可以強迫嗎？｜什麼叫不記名投票？｜公平投票怎麼做？"
"S80009","勞動參與的意義","說明勞動參與對個人發展與社會運作的重要性。","工作讓人實現自我價值並促進社會生產。","為什麼要工作？｜勞動只是賺錢嗎？｜每個人都要參與勞動嗎？"
"S80010","家務分工與不平等現象","探討家務勞動的分擔與性別不平等的現象及其影響。","女性常承擔較多家務可能影響職涯發展。","誰應該做家事？｜做家事算工作嗎？｜家務和性別有關嗎？"
"S80011","保障勞動平等的法律措施","介紹保障勞動平權的法令與制度，如《性別工作平等法》。","禁止雇主因性別差異在薪資或升遷上歧視勞工。","工作場所能性別歧視嗎？｜法律怎麼保護員工？｜什麼是工作平等？"
"S80012","市場競爭與消費者影響","說明市場競爭對價格、品質及消費者選擇的影響。","兩家超商競爭促使商品價格下降。","廠商競爭會讓我受益嗎？｜競爭是不是壞事？｜為什麼有競爭才便宜？"
"S80013","廠商的競爭方式","介紹廠商可能採取的價格、服務、品牌等競爭方式。","某品牌以廣告塑造形象吸引顧客。","商店怎麼搶客人？｜打折就是競爭嗎？｜競爭方式有哪些？"
"S80014","競爭程度與新進者關係","說明市場競爭程度與參與廠商數量的關聯。","更多店家加入外送市場使選擇變多、價格變低。","為什麼多家競爭比較好？｜新店開張會怎樣？｜壟斷是不是反競爭？"
"S80015","生活中的公平與不公平","說明公平與不公平的判斷標準與生活中的例子。","兩人表現相同但薪水不同被認為不公平。","什麼叫公平？｜對我公平對別人也公平嗎？｜怎麼知道是不是公平？"
"S80016","考量公平的原則","介紹考量公平時常見的原則，如成果、需要、平等等。","對弱勢學生提供補助是基於需要原則。","公平一定要平均嗎？｜不一樣就是不公平嗎？｜怎麼分才合理？"
"S80017","群體處境與公平正義","探討群體可能遭遇的不公平處境與結構性因素。","原住民學生在升學或就業上常面臨資源落差。","什麼叫結構性不公平？｜少數族群為什麼需要幫助？｜社會會不公平嗎？"
"S80018","善行與社會正義","說明個人或團體的善行是否足以實現公平正義，並討論制度性改變的重要。","捐款雖能幫助弱勢，但不能解決根本問題。","行善能改變社會嗎？｜做好事有用嗎？｜制度比個人更重要嗎？"
"S80019","基本生活保障與人性尊嚴","說明保障個人基本生活條件與尊嚴自由之關聯。","提供基本醫療與社福可提升民眾尊嚴與生活品質。","什麼是有尊嚴的生活？｜政府有責任讓我們生活下去嗎？｜吃得飽是基本權利嗎？"
"S80020","國家責任與社會安全","介紹國家保障人民生活安全與生存權的角色與原因。","政府設置社會保險制度保障人民就醫與老年生活。","政府應該照顧我們嗎？｜國家為什麼要發津貼？｜誰應該保障基本生活？"
"S80021","文化差異的例子","認識生活中常見文化差異的實例並理解文化多樣性。","不同族群有不同的飲食、服裝與語言。","為什麼別人講的話我聽不懂？｜不同文化是什麼？｜差異是好事嗎？"
"S80022","語言與文化的位階不平等","分析語言與文化間可能存在的地位落差與不平等待遇。","原住民語言在教育與公共場合中可能被忽視。","為什麼少數語言會被忽略？｜不同文化能平等嗎？｜我們的文化比較好嗎？"
"S80023","尊重與包容的重要性","強調多元社會中互相理解、尊重與包容的必要性。","尊重宗教信仰差異可促進族群和諧。","我們一定要包容嗎？｜不一樣就是錯嗎？｜尊重真的有用嗎？"
"S80024","全球化概念與現象","介紹「全球化過程」的意義與生活中常見現象。","速食品牌全球化展現跨國企業擴張影響。","什麼是全球化？｜全球化會讓世界一樣嗎？｜我生活也被全球化影響嗎？"
"S80025","全球化的影響與反應","探討全球化對人類生活的衝擊與不同觀點的評價。","部分人擔憂全球化導致文化消失，也有人認為創造更多機會。","全球化好還是不好？｜誰受益誰吃虧？｜本土文化會被取代嗎？"
"S80026","兩岸關係與國際參與","分析臺灣在兩岸局勢下的國際參與挑戰與可能性。","部分國際組織因中國因素限制臺灣參與。","台灣能參加奧運嗎？｜中國會影響我們外交嗎？｜兩岸關係和世界有什麼關係？"
"S80027","科技與日常生活","說明科技如何改變日常生活方式與生活品質。","智慧手機改變了通訊、購物與學習方式。","科技讓生活變好了嗎？｜以前沒網路怎麼過？｜科技真的進步嗎？"
"S80028","科技與公共參與","介紹科技如何促進或限制中學生參與公共事務的方式。","透過網路連署、參與社群倡議提升公共參與的便利性。","上網簽名有用嗎？｜學生可以參與公共事務嗎？｜科技能幫我們發聲嗎？"
"S80029","科技風險與應對","延伸探究科技所帶來的風險與中學生可能的應對方式。","個資外洩、網路霸凌是科技帶來的負面後果。","科技一定是好事嗎？｜怎麼保護自己不被害？｜我該怎麼用科技才安全？"
"S90001","民主制度與集體決策","認識民主制度的基本原則，理解集體決策如何透過協商與投票達成。","舉例說明班會中如何做出集體決策。","什麼是民主？｜為什麼大家要一起決定？｜少數要服從多數嗎？"
"S90002","假訊息與媒體素養","辨識網路與媒體資訊的真偽，培養公民面對假訊息的判讀能力。","請舉一個假訊息的例子，並說明如何查證。","假訊息怎麼判斷？｜看到的訊息都是真的嗎？｜媒體會騙人嗎？"
"S90003","數位公民與網路行為責任","理解數位時代中的公民行為與責任，包括言論、隱私與資訊安全。","說明在網路上發表言論需要注意哪些法律或倫理問題。","我在網路上留言要負責嗎？｜網路霸凌怎麼辦？｜隱私很重要嗎？"
"S90004","氣候正義與公民責任","從氣候變遷中理解公民在環境永續上的責任與行動角色。","舉例說明生活中能實踐環保行動的方法。","我能為環境做什麼？｜環境問題和我有關嗎？｜氣候正義是什麼？"
