id,標題,說明,例題,問法
G70021,臺灣的海岸類型與特色,介紹臺灣海岸的主要類型（岩岸、沙岸、潟湖）及其成因與分布。,西部多為沙岸，東部多為岩岸。,台灣的海岸都一樣嗎？｜什麼是潟湖？｜為什麼東部海岸多是斷崖？｜可以在哪裡看到沙灘？
G70022,臺灣的領海與經濟海域,了解臺灣的領海、毗連區與專屬經濟海域的範圍與意義。,臺灣擁有200浬專屬經濟海域。,什麼是經濟海域？｜台灣的海域範圍有多大？｜台灣可以在哪裡捕魚？｜跟他國有海域爭議嗎？
G70023,土地利用與空間變遷,理解農地、都市、工業區等土地利用型態及其時空變化。,都市擴張造成農地減少。,什麼是土地利用？｜為什麼農地會變少？｜都市擴張是好事嗎？｜農地保留有什麼重要？
G70024,地形災害：地震與土石流,說明地形災害如地震、土石流的發生條件與影響。,山區大雨後容易發生土石流。,為什麼台灣地震多？｜什麼是土石流？｜山區危險嗎？｜我們可以怎麼防災？
G70025,環境倫理與保育問題,探討人類活動對自然環境的衝擊及生態保育的重要性。,過度開發造成濕地消失。,為什麼要保護自然？｜什麼是環境倫理？｜濕地有什麼價值？｜經濟開發會破壞環境嗎？
G70026,田野觀察的方法與步驟,介紹地理田野觀察的準備、紀錄與呈現方式。,觀察學校附近的地形與人文環境並記錄下來。,田野觀察是做什麼的？｜怎麼記錄觀察到的東西？｜老師會帶我們去哪裡？｜觀察的資料要怎麼用？
G70027,颱風的生成與影響,認識颱風的形成條件、路徑與對臺灣的影響。,每年夏秋之際常有颱風侵襲臺灣。,颱風是怎麼來的？｜為什麼有時颱風不進來？｜颱風都從哪裡來？｜怎麼預防颱風災害？
G70028,水患的成因與防災措施,探討淹水、水災的成因，並認識防災設施與避難方式。,都市排水不良易導致淹水。,為什麼台北會淹水？｜怎麼防止水災？｜堤防是做什麼的？｜淹水時該怎麼辦？
G70029,臺灣人口的成長與分布,理解臺灣人口的歷史變化、成長趨勢與地理分布特徵。,西部平原人口密度較高。,台灣人口集中在哪裡？｜為什麼東部人口比較少？｜人口成長有什麼影響？｜什麼是人口密度？
G70030,臺灣的人口組成,認識臺灣人口的年齡、性別、族群與遷徙結構。,臺灣面臨高齡化與少子化問題。,台灣老人變多是好還是壞？｜移民對台灣有什麼影響？｜人口組成會怎麼改變？
G70031,臺灣多元族群文化,了解臺灣原住民、漢人、新住民等文化特色與融合現象。,原住民族有豐富的祭典與語言。,台灣有哪些族群？｜族群文化有什麼不同？｜新住民指的是誰？｜為什麼要尊重多元文化？
G70032,人口問題與因應政策,探討人口老化、少子化與人口外流等問題及政府對策。,政府鼓勵生育以因應少子化。,為什麼大家不想生小孩？｜人口變少會怎樣？｜有什麼政策可以改善？
G70033,臺灣農業經營特色,認識臺灣農業型態、小農經營模式與地區作物特色。,嘉南平原適合種植水稻。,台灣農民多嗎？｜哪裡種最多米？｜什麼是小農經濟？｜農業有哪些困難？
G70034,臺灣工業發展特色,掌握工業區分布、產業類型與科技園區的空間特色。,中部與南部設有多個科學園區。,台灣有哪些工業區？｜為什麼科技業發展快？｜哪裡有工廠？｜台灣工業發展從哪裡開始？
G70035,臺灣國際貿易與全球關聯,了解臺灣出口導向型經濟與全球產業鏈的關聯。,電子產品是臺灣重要出口項目。,台灣都賣什麼給別人？｜台灣跟誰貿易最多？｜什麼叫出口導向？｜我們買的東西都從哪裡來？
G70036,產業活動的挑戰與調適,探討產業轉型、環境壓力與勞動力結構改變的因應方式。,製造業外移造成失業率上升。,為什麼台灣要轉型？｜產業轉型會影響什麼？｜環保跟產業會衝突嗎？｜哪些產業消失了？
G70037,聚落系統與交通網絡,了解臺灣聚落的形成、類型與交通對其影響。,河流附近形成聚落與交通幹道。,為什麼村莊都在河邊？｜聚落有哪些型態？｜交通會怎樣改變聚落？｜什麼是聚落？
G70038,都市發展與都市化,探討都市人口集中、空間擴張與功能分區等現象。,都市化導致城鄉差距擴大。,都市化是好事嗎？｜鄉村會變成都市嗎？｜都市空間怎麼規劃？｜什麼是衛星城市？
G70039,區域發展與空間差異,了解臺灣區域間在資源、人口與經濟上的差異與不均。,東部地區醫療資源較少。,為什麼東部比較落後？｜哪裡比較有資源？｜空間差異會造成哪些問題？｜政府有做什麼改善？
G70040,原住民族文化與空間保育,認識原住民族生活地區與文化保存、生態保育間的關聯。,原民部落推動文化觀光與生態保育。,原住民住在哪些地方？｜怎麼保護原民文化？｜文化觀光是什麼？｜保育區和生活空間會衝突嗎？
G70041,人文景觀田野觀察,學習使用地圖、圖像、紀錄等方式觀察校園或社區的人文景觀。,記錄社區的市場、廟宇與街道特色。,田野觀察怎麼進行？｜要記錄什麼？｜人文景觀是什麼意思？｜我們可以去哪裡觀察？
G80001,中國地區的自然環境差異,認識中國各地自然環境（地形、氣候、水文）的地區性差異。,中國西高東低，氣候南濕北乾。,中國地形有什麼特色？｜為什麼西部比較高？｜哪裡比較乾燥？｜氣候有什麼不同？
G80002,中國的傳統生活方式與人口分布,了解中國農業、建築等傳統生活與自然環境的關聯及人口密度分布。,黃河流域以旱作農業為主，人口密集。,中國哪裡人最多？｜氣候怎麼影響農業？｜房子蓋法跟環境有關嗎？｜傳統生活方式是什麼？
G80003,中國的人口成長與遷移,理解中國人口成長趨勢與移民流動現象、文化擴散。,中國內部有大量農村人口往都市遷移。,中國人口變化怎麼樣？｜為什麼大家往城市跑？｜文化會怎麼擴散？｜人口遷移有什麼影響？
G80004,中國產業活動的轉型,探討中國從農業、工業到服務業的產業轉型發展。,中國東南沿海地區成為製造業重鎮。,中國現在還是農業國嗎？｜哪些地方工業發達？｜什麼叫產業轉型？｜中國為什麼吸引外資？
G80005,中國經濟發展的地區差異,比較中國沿海與內陸地區的經濟發展差距與成因。,東部地區GDP高於西部。,為什麼沿海比較有錢？｜內陸地區發展慢的原因是什麼？｜中國地區發展有差嗎？｜有哪些政策改善差距？
G80006,中國經濟發展與全球關聯,了解中國參與全球分工、出口導向與製造業外貿角色。,中國是全球最大出口國之一。,中國跟哪些國家貿易最多？｜中國出口什麼最多？｜全球化怎麼影響中國？｜中國為什麼是世界工廠？
G80007,經濟發展與環境衝擊,探討中國快速發展造成的環境問題與永續挑戰。,工業污染導致霧霾嚴重。,中國有哪些環境問題？｜為什麼有霧霾？｜經濟發展會破壞環境嗎？｜可以怎麼改善？
G80008,大洋洲自然環境與資源,認識澳洲與大洋洲自然環境與礦產、水資源等資源分布。,澳洲內陸乾燥，礦產豐富。,澳洲有什麼自然資源？｜為什麼澳洲地廣人稀？｜哪些地方適合放牧？｜水資源豐不豐富？
G80009,極地地區與氣候變遷衝擊,了解南北極地區的自然環境特性及氣候變遷的影響。,氣候變遷造成極地冰融，影響海平面上升。,極地為什麼重要？｜冰融會有什麼後果？｜北極和南極差在哪裡？｜我們會受到影響嗎？
G80010,大洋洲的發展競爭與戰略位置,探討大洋洲地區的經濟發展與在全球地緣戰略中的地位。,澳洲為亞太重要貿易與安全夥伴。,澳洲在全球政治上的角色是什麼？｜誰想影響南太平洋？｜大洋洲有什麼戰略地位？
G80011,大洋洲與臺灣原住民族文化的連結,比較大洋洲與臺灣原民在語言、信仰、遷徙等文化面向的聯繫。,臺灣原住民與南島語族有歷史連結。,台灣原住民和南島民族有關係嗎？｜他們講的語言像嗎？｜他們怎麼去那麼遠的地方？
G80012,東北亞的自然環境背景,了解東北亞地區的地形、氣候、水資源等自然環境特徵。,東北亞多為溫帶季風氣候，冬冷夏熱。,東北亞氣候是什麼？｜為什麼東北亞會下雪？｜哪裡是火山帶？｜自然環境影響生活嗎？
G80013,東北亞產業與文化發展,掌握東北亞主要產業類型與文化特色（如韓流、日本傳統工藝）。,日本汽車、電子工業發達，韓國文化產業蓬勃。,東北亞主要產業是什麼？｜日本人怎麼生活？｜韓國文化為什麼受歡迎？｜這些產業跟地理有關嗎？
G80014,東北亞經濟發展挑戰,分析東北亞經濟成就與挑戰（如資源依賴、人口老化、貿易競爭）。,日本人口老化影響勞動力結構。,東北亞經濟好在哪裡？｜有什麼挑戰？｜為什麼他們競爭那麼激烈？｜科技發展有哪些問題？
G80015,臺灣與東北亞文化交流,探討臺灣與東北亞的歷史、經濟與文化互動（如觀光、影視、飲食）。,台灣學生學習日文、韓文人口增加。,台灣人為什麼喜歡日本？｜台灣有什麼韓國影響？｜我們跟東北亞有什麼關係？｜文化交流包括哪些？
G80016,東南亞與南亞自然環境,介紹東南亞與南亞的地形氣候（如熱帶季風、雨林），與自然資源分布。,東南亞有許多島嶼與熱帶雨林。,南亞是乾還是濕？｜東南亞為什麼有很多河？｜熱帶氣候住起來怎麼樣？｜這些地方的自然景觀怎麼樣？
G80017,東南亞與南亞的多元文化,理解語言、宗教、生活方式等多元文化在南亞與東南亞的展現。,印度信仰多種宗教，東南亞有穆斯林、佛教、基督教等。,南亞有哪些宗教？｜為什麼語言那麼多？｜東南亞文化像台灣嗎？｜文化融合是什麼？
G80018,區域經濟發展與聯盟,認識南亞、東南亞的經濟發展模式與區域合作組織（如東協、南盟）。,東協（ASEAN）促進成員國經貿合作。,什麼是東協？｜為什麼他們要合作？｜南亞的經濟好嗎？｜他們會跟台灣做生意嗎？
G80019,東南亞與南亞新興市場與臺灣產業關聯,探討南亞、東南亞與台灣產業的互動與機會（如製造業、外包、觀光）。,台商投資東南亞設廠以降低成本。,為什麼台灣企業跑去南亞？｜我們出口什麼到東南亞？｜他們買我們的東西嗎？｜我們會從那邊學什麼？
G80020,西亞與北非的自然環境與資源,了解西亞與北非的乾燥氣候、地形特色及石油等天然資源分布。,西亞地區多為沙漠與乾燥氣候，盛產石油。,西亞氣候為什麼這麼乾？｜哪裡最多石油？｜沙漠能住人嗎？｜北非環境長怎樣？
G80021,伊斯蘭文化的發展與特色,認識伊斯蘭教的信仰、建築、節慶與生活方式在該區的影響。,伊斯蘭文化影響當地語言、飲食與建築風格。,什麼是伊斯蘭文化？｜齋戒月是什麼？｜為什麼清真寺很特別？｜穆斯林怎麼生活？
G80022,國際衝突的焦點區域,探討該區因宗教、石油、政治因素成為全球衝突熱點的成因。,中東因石油資源與宗教衝突頻繁發生戰爭。,中東為什麼常打仗？｜宗教跟戰爭有關嗎？｜哪些國家爭奪石油？｜衝突會影響全球嗎？
G80023,伊斯蘭文化與西方文化的互動,分析文化衝突、交流與融合現象及其對國際關係的影響。,西方媒體與伊斯蘭價值觀之間常有爭議。,伊斯蘭文化和西方文化差在哪？｜他們能和平共處嗎？｜有融合的例子嗎？｜交流有什麼困難？
G80024,撒哈拉以南非洲的自然環境與資源,認識非洲熱帶氣候、雨林、草原與礦產、水資源等特色。,非洲擁有豐富鑽石、金礦等地下資源。,非洲都很熱嗎？｜非洲有森林嗎？｜非洲有哪些天然資源？｜為什麼乾濕分布那麼明顯？
G80025,撒哈拉以南非洲的文化特色,介紹多樣的部落文化、語言、宗教及其全球影響力。,非洲音樂、服飾、舞蹈在全球風行。,非洲講什麼語言？｜部落文化是什麼？｜非洲人信什麼教？｜非洲文化影響我們什麼？
G80026,非洲經濟發展與挑戰,探討非洲現代經濟問題，如貧富差距、基礎建設與外債依賴。,許多非洲國家仍依賴初級產品出口。,非洲為什麼貧窮？｜他們發展到什麼程度？｜有什麼經濟挑戰？｜有哪些改善方法？
G80027,非洲與公平貿易議題,了解非洲面臨的全球貿易不平等問題及公平貿易運動的興起。,公平貿易協助非洲小農提升收入。,什麼是公平貿易？｜誰受益？｜為什麼咖啡貿易對非洲很重要？｜我們能做什麼？
G80028,歐洲與俄羅斯的自然環境背景,介紹歐洲與俄羅斯的地形、氣候、河川與自然資源特徵。,歐洲多平原與內河航運，俄羅斯冬季寒冷。,歐洲氣候怎樣？｜俄羅斯為什麼這麼冷？｜他們有哪些天然資源？｜哪裡適合住人？
G80029,歐洲與俄羅斯的產業與文化特色,認識歐洲產業多元與文化歷史、俄羅斯的能源優勢與文化背景。,法國重視精品與觀光，俄羅斯以天然氣出口聞名。,歐洲做什麼產業？｜俄羅斯靠什麼賺錢？｜歐洲文化有哪些？｜文化會影響產業嗎？
G80030,歐洲現代經濟與區域結盟,了解歐盟的合作機制與對歐洲經濟整合的影響。,歐盟成員國享有共同市場與貨幣。,什麼是歐盟？｜歐盟為什麼要一起合作？｜有沒有國家不想加入？｜歐盟如何影響生活？
G80031,歐洲發展綠能的背景與條件,探討歐洲推動永續發展與綠能的原因與策略。,德國推動風電與太陽能發展。,歐洲為什麼重視綠能？｜有哪些再生能源？｜綠能有用嗎？｜發展綠能會影響生活嗎？
G80032,美洲的自然環境背景,認識美洲各區自然地形（落磯山、亞馬遜、安地斯）、氣候與資源。,亞馬遜雨林是全球最大熱帶雨林。,美洲有什麼特色地形？｜氣候差異大嗎？｜哪裡有森林？｜什麼是可可作物？
G80033,美洲的移民與產業發展,了解移民潮與多元族群對美洲文化與產業發展的影響。,美國吸引來自全球的移民並形成多元社會。,美洲移民多嗎？｜移民怎麼改變社會？｜移民做哪些工作？｜移民會造成衝突嗎？
G80034,美洲經濟發展的區域差異,分析北美與南美在發展程度、產業結構與生活條件的不同。,北美國家人均所得高於南美。,美洲哪裡比較有錢？｜南美為什麼發展慢？｜資源一樣為什麼差那麼多？｜生活條件會差多少？
G80035,熱帶雨林的開發與保育,探討南美熱帶雨林面臨的開發壓力與保育挑戰。,伐木與農業開發導致亞馬遜雨林消失。,為什麼要砍樹？｜雨林保育有什麼困難？｜我們會受到影響嗎？｜有哪些保護方法？
G80036,『臺灣』地名的由來與範圍演變,探討臺灣地名的歷史由來、使用變遷與地理涵義。,『臺灣』一詞最早源自原住民語，範圍隨時代變化擴大。,台灣這個名字怎麼來的？｜以前的台灣是指哪裡？｜名字會改變嗎？｜誰決定地名？
G80037,鄉鎮市地名的由來與特色,認識鄉鎮（或縣市）地名的來源、文化意涵與歷史背景。,新竹因『竹塹』古地名演變而來。,我的家鄉名字怎麼來的？｜地名有什麼故事？｜地名跟歷史有關嗎？｜有什麼地方改過名字？
G80038,地名與環境、族群文化的關係,分析地名如何反映自然地理或族群文化特徵。,花蓮『秀林』取自原住民族語意象。,為什麼這裡叫這個名字？｜地名和族群有什麼關係？｜哪些地名是原住民語？｜地名能看出什麼文化？
G80039,地名與生產活動或行銷的關聯,探討地名如何與農產品、生產活動或商品命名相連結。,『關山米』、『東山咖啡』以地名建立品牌形象。,為什麼商品會用地名命名？｜地名可以幫忙行銷嗎？｜這樣的名字有什麼好處？｜跟地方有什麼關係？
G80040,農業生產與地理環境,了解農業與地形、水文、氣候等自然環境的依存關係。,高山地區適合種高冷蔬菜，西部平原適合水稻。,為什麼某些地方適合種特定作物？｜農業和地形有什麼關係？｜雨水多少會影響嗎？｜氣候變遷會影響農業嗎？
G80041,食物運銷與國際貿易,探討農產品如何從產地送至市場與全球貿易網絡的連結。,台灣香蕉曾大量出口日本市場。,我們吃的水果哪裡來的？｜台灣有出口農產品嗎？｜怎麼運送食物？｜食物會從外國來嗎？
G80042,飲食文化與食品科技議題,認識飲食文化的變遷、食品加工技術與基因改造議題。,市面上出現標示為『非基改』的大豆產品。,什麼是基因改造食品？｜加工食品是好是壞？｜為什麼吃的東西越來越複雜？｜飲食文化會改變嗎？
G80043,食品安全的觀察與因應,從地理觀點探討食安問題的空間分布、成因與可能對策。,地溝油事件暴露食品來源與監管漏洞。,食安問題從哪裡來？｜哪些地方問題多？｜怎麼讓食物更安全？｜可以從哪裡觀察到問題？
"G90001","氣候變遷與全球暖化","探討全球暖化對自然環境與人類生活的影響，認識氣候變遷的成因與調適策略。","請說明臺灣可能受到哪些氣候變遷影響。","氣候真的變了嗎？｜為什麼會暖化？｜臺灣會受影響嗎？｜我們能做什麼？"
"G90002","節能與永續生活空間","從生活面出發，理解節能與土地利用的重要性，思考永續發展的生活方式。","舉出一種你家或社區的節能做法並說明其效益。","怎麼節能減碳？｜我們的家對環境有影響嗎？｜怎麼住得更永續？"
"G90003","地理資訊系統（GIS）的應用","了解GIS如何幫助分析空間資訊與地理現象，認識其在災害、防疫與交通規劃中的應用。","請說明GIS如何協助分析水災地區。","GIS是什麼？｜可以做什麼？｜怎麼知道災害發生在哪裡？"
"G90004","地方特色與創生","認識在地資源如何與文化結合發展產業與觀光，強化地理與社區連結的意識。","舉一個你家鄉有名的產品或文化活動，說明其與地理環境的關聯。","地方可以怎麼發展？｜有什麼特色？｜為什麼能吸引觀光客？"
"G90005","地理研究方法與問題解決","了解地理學的研究歷程，包括問題發想、資料蒐集與分析、展示與反思。","請列出你觀察家鄉一項地理問題的研究步驟。","要怎麼做地理研究？｜資料從哪裡來？｜地理問題怎麼解決？"
"G90006","地圖種類與應用","認識不同種類的地圖及其功能，如主題地圖、導覽地圖等，培養地圖判讀能力。","舉一種主題地圖，說明其用途與特色。","不同地圖有什麼差別？｜怎麼看主題地圖？｜可以用來做什麼？"
"G90007","水資源分布與利用衝突","探討全球與台灣水資源分布、使用方式與可能造成的衝突與調適。","舉例說明某地因水資源分配不均所引起的問題。","水不就是一直都有嗎？｜為什麼會搶水？｜水可以永遠用嗎？"
"G90008","能源利用與空間分布","分析能源資源（如石油、天然氣、再生能源）分布與其影響空間發展的關係。","請說明風力發電在台灣的分布原因。","為什麼某些地方適合發電？｜能源會影響地圖長相嗎？｜再生能源真的夠嗎？"
"G90009","都市發展與世界都市","理解都市化趨勢與世界重要都市的空間特色、功能與影響力。","請舉一個世界都市並說明其地理優勢。","台北算世界都市嗎？｜都市為什麼會變那麼大？｜都市生活有什麼問題？"
"G90010","全球化與空間重組","從經濟與文化角度探討全球化如何改變生產與生活空間樣貌。","請舉例說明某種商品如何在全球不同地區生產與銷售。","為什麼手機零件來自不同國家？｜誰決定工廠要蓋在哪？｜全球化對我們有影響嗎？"
