M70021,二元一次聯立方程式的解法,能使用代入法與加減法解聯立方程式,"解：x + y = 7, x - y = 3",代入法怎麼用？｜什麼時候用加減法比較快？
M70022,二元一次聯立方程式的圖形意義,能將 ax + by = c 表示為直線圖形，理解解為交點,畫出 y = 2x + 1 和 y = -x + 4 的交點,圖形解法是什麼？｜為什麼交點就是解？｜兩直線會相交嗎？
M70023,一元一次不等式的意義,理解不等式的意義與表示方法，能從生活情境中列式,寫出「年齡大於等於 18 歲」的不等式,不等式是什麼？｜怎麼從文字題列出不等式？
M70024,一元一次不等式的解與圖示,會解一元一次不等式並在數線上表示解的範圍,解：2x - 1 > 5 並畫數線圖,怎麼解不等式？｜圖形怎麼畫？｜解集要不要開或閉？
M70025,統計圖表的判讀與製作,能收集、整理並繪製直方圖、長條圖、圓形圖與折線圖,請根據下列資料畫出直條圖,什麼時候要用哪一種圖？｜圖表能不能用 Excel 畫？
M70026,統計數據的整理與描述,理解平均數、中位數與眾數的意義，並使用計算機操作,"找出資料 5, 7, 7, 8, 10 的平均數與中位數",什麼是中位數？｜M+ 是什麼鍵？｜平均數怎麼算？
"M80001","二次方根的概念與運算","理解二次方根的意義，能進行根式的化簡與四則運算","化簡 √50 + √18","什麼是二次方根？｜怎麼化簡根號？｜可以直接加減根號嗎？"
"M80002","二次方根的近似值","能使用十分類近似法、計算機、平方根鍵求出根號近似值","√5 約等於多少？","根號可以算近似值嗎？｜怎麼按計算機求根號？｜為什麼根號不能完全算出來？"
"M80003","認識數列","能辨認生活中常見數列規律，並找出下一項或圖形的規律","下列數列 2, 4, 6, 8, __，填空","什麼是數列？｜數列要怎麼找規律？｜這是等差數列嗎？"
"M80004","等差數列的通項","理解等差數列的通項公式並能列式解題","已知首項為 3，公差為 5，求第 10 項","什麼是等差？｜第 n 項怎麼表示？｜等差公式怎麼代？"
"M80005","等差級數與應用","能使用等差級數公式求總和並應用在實務情境","1+3+5+...+99 的總和是多少？","什麼是級數？｜怎麼求加總？｜跟通項有什麼不同？"
"M80006","等比數列的通項","理解等比數列的定義與公式，能列出一般項","首項 2，公比 3，求第 5 項","什麼是等比？｜公比代表什麼？｜怎麼寫第 n 項？"
"M80007","角與角的關係","了解各種角的定義與關係（如對頂角、同位角、內錯角等）","補角的定義是什麼？","什麼是同位角？｜互補角怎麼判斷？｜內錯角在哪裡？"
"M80008","凸多邊形的內角和","了解凸多邊形內角和的公式並能應用計算","五邊形的內角和是多少度？","為什麼多邊形可以算角度？｜公式怎麼來的？｜每個內角都一樣嗎？"
"M80009","平行與距離","理解平行線的性質與符號，並知道兩平行線間距離相等","畫出兩條平行線並標出距離","什麼是平行線？｜怎麼表示平行？｜兩線的距離怎麼算？"
"M80010","全等圖形與對應邊角","認識全等圖形的判定與對應邊角相等性質","兩個三角形若全等，是否對邊對角都相等？","什麼是全等？｜哪幾種方法能判斷全等？｜要對應哪些邊角？"
"M80011","三角形的全等性質","掌握 SAS、SSS、ASA、AAS、RHS 等全等判定方式","判斷兩個三角形是否全等並說明理由","什麼是 SAS？｜全等與相似有何不同？｜為什麼要有多種全等法則？"
"M80012","畢氏定理與應用","理解畢氏定理的公式與生活應用條件","一個三角形三邊為 3,4,5，是否為直角三角形？","什麼是畢氏定理？｜哪時候能用？｜反過來也能判斷嗎？"
"M80013","平面圖形的面積","計算正三角形、高與底已知的面積與複合圖形面積","正三角形邊長 6，求其面積","怎麼算圖形面積？｜正三角形和矩形有什麼差？｜什麼是高？"
"M80014","三角形的基本性質","了解等腰與不等邊三角形的性質與對應角邊關係","等腰三角形的底角會相等嗎？","等腰三角形的特性是什麼？｜什麼是對應角？｜角與邊有關係嗎？"
"M80015","平行四邊形的性質","了解平行四邊形的內角、對角線與邊的特性","畫出平行四邊形並標出對邊與對角","什麼是對角線？｜怎麼判斷是不是平行四邊形？"
"M80016","正方形、長方形、菱形的性質","比較三種圖形的對角線性質與對邊角特性","哪個圖形的對角線會互相垂直？","這些圖形有什麼相同與不同？｜怎麼快速辨認？"
"M80017","梯形的基本性質","理解等腰梯形、高、腰與中位線關係","畫出梯形並標出中位線","什麼是中位線？｜等腰梯形有什麼特性？｜中位線怎麼算？"
"M80018","尺規作圖與推理","能用尺規畫出角平分線、中垂線、平行線與垂線，並推理作圖正確性","使用尺規畫出已知角的角平分線","什麼是角平分線？｜尺規能畫哪些幾何構造？"
"M80019","直角坐標系的距離公式","理解兩點 A(x₁,y₁)、B(x₂,y₂) 之間距離計算方式","計算點 A(1,2) 與 B(4,6) 的距離","距離公式怎麼來的？｜是不是畢氏定理變形？"
"M80020","乘法公式","熟悉 (a+b)², (a-b)², (a+b)(a-b) 等恆等式","展開：(x+2)²","平方差是什麼？｜可以快速展開嗎？｜有沒有背法？"
"M80021","多項式的結構與名稱","認識多項式中的項、次數、係數、常數項等名詞與分類","哪一項是多項式的最高次項？","什麼是一元？｜多項式有幾類？｜次數怎麼看？"
"M80022","多項式的四則運算","能正確進行多項式加減乘除，並整理與化簡","計算：(2x + 3)(x - 1)","怎麼配項？｜能不能用分配律？｜次數會變嗎？"
"M80023","因式分解的基本方法","理解提公因式、公式法、十字交乘法的適用情境與操作","因式分解：x² + 5x + 6","什麼是因式分解？｜怎麼判斷用哪一種方法？"
"M80024","一元二次方程式的意義","了解一元二次方程式的形式與應用情境","列出：一個數平方後減 3 等於 0 的方程式","什麼是一元二次？｜跟一次式有什麼差？"
"M80025","一元二次方程式的解法","能用配方法、公公式法解一元二次方程式","解：x² - 5x + 6 = 0","配方法怎麼做？｜什麼時候用公式法？｜能驗算嗎？"
"M80026","統計資料處理","能整理與繪製累積次數與相對次數折線圖","畫出這組資料的累積次數圖","累積次數是什麼？｜相對次數怎麼算？｜這些圖表有何用途？"
M90001,連比與連比例式,能進行連比記錄與推理，理解連比例式的計算與應用。,若 a:b = 2:3 且 b:c = 4:5，求 a:c。,什麼是連比？｜連比例怎麼算？｜可以用計算機嗎？
M90002,相似圖形與邊角關係,理解相似圖形縮放的意義，能說明對應角相等與對應邊成比例的性質。,若兩個三角形相似，對應邊為 3cm 和 6cm，比例是多少？,什麼叫相似？｜要滿足什麼條件？｜為什麼角相等邊成比例？
M90003,三角形的相似判定,能判別三角形是否相似（AA、SAS、SSS）並應用於相似比的計算問題。,兩個三角形的角度皆為 30°、60°、90°，是否相似？,怎麼知道兩個三角形相似？｜角相等一定相似嗎？｜比例怎麼用？
M90004,平行線截比性質,理解平行線截線段成比例的幾何性質，並應用於線段長度推理與判斷是否平行。,若一線段被平行線截成 3:4，另一邊被截為 6:x，求 x。,平行線怎麼用比例判斷？｜截比定理是什麼？｜有公式嗎？
M90005,直角三角形中邊長比例的不變性,了解 30°-60°-90° 與 45°-45°-90° 三角形中的邊長比固定不變，可應用於三角函數前導。,一個三角形有角 30°、60°、90°，其邊長比為多少？,邊長比一定會一樣嗎？｜三角函數是什麼？｜為什麼角度決定邊？
M90006,扇形與弧長、面積公式,能理解扇形與弧長的關係，運用弧度計算弧長與面積。,半徑為 10，圓心角為 60°，求弧長。,扇形面積怎麼算？｜弧長是什麼？｜要用 π 嗎？
M90007,圓的幾何性質,理解圓心角、圓周角、對應弧的度數關係，及切線與對角線的性質。,圓周角是圓心角的一半嗎？,圓內接四邊形有什麼性質？｜為什麼切線垂直？
M90008,點與圓的相對關係,能判別點與圓（內部、圓上、外部）的關係，並理解點到圓的距離定義與切線特性。,點在圓外時有幾條切線？,點到圓的距離怎麼算？｜圓心距與半徑關係？｜什麼叫切線性質？
M90009,三角形的外心與中垂線,理解外心的位置為三邊垂直平分線的交點，能利用外心解題。,三角形的外心距三頂點距離相等嗎？,怎麼畫出外心？｜中垂線是什麼？｜外接圓跟它有關嗎？
M90010,三角形的內心與內切圓,了解內心是角平分線交點，能應用於內切圓半徑計算與圓心定位。,畫出三角形的內切圓並求其半徑。,內心在三角形裡面嗎？｜角平分線怎麼畫？｜圓心要怎麼找？
M90011,三角形的重心與面積分割,理解三角形的重心定義，並能運用三條中線的交點為重心，說明三角形面積分割為六個小三角形且面積相等。,標出三角形的重心並說明三個中線如何分割面積。,什麼是重心？｜三角形的中線是什麼？｜為什麼能把面積分成六等分？
M90012,數學證明的概念,理解幾何證明中的推理方式與符號表示，並能針對題意進行邏輯說明。,請說明為什麼垂直平分線上的點到兩端點距離相等。,什麼叫證明？｜一定要寫理由嗎？｜為什麼這樣能推出結論？
M90013,空間中線與面之垂直關係,能判別長方體或正四面體中邊線與面的垂直或平行關係，理解空間中的垂直概念。,判斷空間中兩條線段是否垂直。,空間線段怎麼看垂直？｜立體圖的面與邊有角度嗎？｜一定要畫投影嗎？
M90014,表面積與體積計算,能計算直角柱、正三角柱、圓錐與球等常見立體圖形的表面積與體積。,求一個底面半徑為 4cm、高為 5cm 的圓柱體積。,體積公式怎麼背？｜表面積為什麼要加上側面？｜這些公式有推導嗎？
M90015,二次函數的關係與圖形,能從情境列出二次函數，並畫出圖形與解析對稱軸與頂點。,y = x² - 4x + 3 的圖形對稱軸在哪裡？,什麼是二次函數？｜圖形是什麼形狀？｜怎麼找頂點？
M90016,二次函數圖形的平移與對稱,能將標準式 y = ax² 的圖形進行左右與上下平移，並分析平移後頂點與對稱軸的變化。,畫出 y = (x - 2)² + 3 與 y = x² 的圖形。,平移後的圖形會長怎樣？｜頂點會跟著移動嗎？｜怎麼用公式判斷？
M90017,統計數據的分布與表示,能製作並解釋數據的四分位數、全距、箱型圖，理解集中與離散程度。,畫出下列資料的箱型圖並找出中位數與 IQR。,四分位數是什麼？｜為什麼要畫箱型圖？｜中位數跟平均數有什麼不同？
M90018,機率的基本意義與表示,能理解機率作為比值的概念，並能使用樹狀圖或表格列出所有可能結果。,用樹狀圖列出丟兩枚硬幣的所有結果。,什麼是機率？｜一定要用樹狀圖嗎？｜幾種情況是互斥的？
M90019,古典機率與對稱性,能在對稱性情境下（如銅板、骰子）分析機率並理解所有可能結果的均等性。,擲一顆骰子，點數小於 4 的機率是多少？,什麼是古典機率？｜機率是不是每個情況都一樣？｜怎麼列出全部情況？
M90020,二次函數的極值與對稱軸,能說明二次函數圖形的最大值、最小值與頂點位置，並能從頂點式 y = a(x - h)² + k 判斷圖形性質。,y = -2(x - 3)² + 5 的最大值為何？,怎麼判斷圖形開口向上或向下？｜極值是什麼？｜頂點是極大還是極小？
M90021,二次函數的交點與應用,能求出二次函數與 x 軸交點，並應用於拋物線問題與最大值、時間、距離等情境分析。,某物體拋射高度 y = -5x² + 20x，最高點在何時？,怎麼知道圖形何時最高？｜交點有什麼意義？｜生活中怎麼應用？
M90022,箱型圖的判讀與比較,能從箱型圖比較兩組資料的集中趨勢與離散程度，並解釋 IQR 與極端值的影響。,比較兩班考試成績的箱型圖，哪班表現較穩定？,IQR 是什麼？｜極端值會影響箱型圖嗎？｜怎麼從圖看出集中與分布？
M90023,複合機率的樹狀圖表示,能透過兩層的樹狀圖處理條件機率與組合機率問題。,畫出投一枚硬幣再擲骰子的樹狀圖。,機率可以分兩步嗎？｜條件機率是什麼？｜要怎麼畫樹狀圖？
M90024,資料與圖表的統整,能將原始資料整理為頻率分布表、長條圖、圓形圖等，並能選擇適當圖表呈現。,把學生交通方式資料整理成圓餅圖。,怎麼挑圖表種類？｜長條圖和圓餅圖有什麼差別？｜頻率分布表是什麼？
M90025,變異數與標準差概念（銜接）,初步理解資料的離散程度可以透過變異數與標準差描述。,哪一組資料標準差較大？,標準差是什麼？｜跟全距有什麼不同？｜可以用計算機算嗎？
M90026,二次函數與生活應用,能將生活情境（如面積、拋物線）轉為二次函數並分析圖形與意義。,某球拋出的軌跡符合 y = -x² + 4x + 1，請問何時達到最高點？,生活中為什麼會出現二次函數？｜圖形對我們有什麼幫助？｜最高點一定在中間嗎？
M90027,放回與不放回的機率差異,能理解每次抽球後若不放回，機率會因剩餘數量改變而不同；若放回則機率維持不變。,袋中有 5 顆紅球、5 顆白球，抽出一顆紅球不放回後再抽一次，抽到紅球的機率是多少？,什麼是不放回？｜為什麼會影響機率？｜放回和不放回差在哪？
M90028,條件機率的概念,能理解事件發生的機率可能會根據先前已知的結果而改變。,已知抽到紅球的機率是 1/5，若第一顆紅球已被抽走，第二次抽到紅球的機率是多少？,什麼是條件機率？｜前面的抽球會影響後面的嗎？｜要怎麼更新機率？
M90029,實驗次數與總體變化,能區分重複實驗中的「固定總數」與「變動總數」，並考量其對機率的影響。,箱中有 8 顆白球與 2 顆紅球，每次抽出紅球不放回，抽了三次紅球後，剩下紅球的機率是多少？,抽很多次會影響機率嗎？｜紅球會變少嗎？｜總數會變嗎？
M90030,生活中常見的不放回情境,能辨識出現實生活中哪些機率問題屬於「不放回」的情況，如抽獎、撲克牌等。,抽撲克牌時已抽走 3 張黑桃，第四次抽到黑桃的機率是多少？,撲克牌算不放回嗎？｜抽獎是不是也不放回？｜什麼時候要考慮剩下的？
"id","標題","說明","例題","問法"
"H70001","紀年與分期","了解歷史紀年的方式與歷史時期的劃分，幫助掌握歷史事件的時間脈絡。","請將下列事件按發生時間排序：甲午戰爭、臺灣光復、鄭成功來臺。","什麼是紀年？｜歷史怎麼分期？｜為什麼要學分期？｜紀年和我們生活有什麼關係？"
"H70002","史前文化與考古","透過考古遺址與出土文物，了解臺灣的史前文化與生活樣貌。","請舉出一個臺灣重要的史前文化遺址。","什麼是史前文化？｜怎麼知道古人怎麼生活？｜考古學家怎麼工作？"
"H70003","臺灣原住民族的遷徙與傳說","認識臺灣原住民族的來源、分布與文化傳說，加深對族群多元性的理解。","請列出兩個原住民族及其傳說。","原住民怎麼來到台灣的？｜每族的神話故事都一樣嗎？｜為什麼要學原住民的歷史？"
"H70004","大航海時代東亞勢力","了解十六、十七世紀東亞與臺灣的地緣政治，及歐洲殖民勢力的進入。","哪兩個歐洲國家曾在臺灣建立據點？","為什麼荷蘭人會來台灣？｜當時的台灣有什麼吸引人？｜東亞地區當時局勢如何？"
"H70005","原住民族與外來者的接觸","認識外來者與原住民族互動對社會與文化造成的影響。","描述荷蘭人與原住民族的互動情形。","外來者怎麼影響原住民？｜原住民怎麼回應這些接觸？｜文化有改變嗎？"
"H70006","清帝國統治政策","理解清帝國統治臺灣的行政與軍事措施。","清朝在臺灣設置哪三府？","清朝怎麼統治台灣？｜為什麼會設立官府？｜政策有改變嗎？"
"H70007","閩粵移民與商業發展","認識閩南與客家移民的活動，以及當時臺灣商業的興盛。","閩粵移民在臺灣經營哪些產業？","誰來台灣開墾？｜為什麼閩粵移民多？｜清代台灣有什麼重要商業？"
"H70008","原住民族社會變遷","探索清代以來原住民族在制度與社會組織上的改變。","請舉例原住民社會在清代的改變。","清朝有干涉原住民生活嗎？｜社會變遷是什麼？｜有些部落為什麼消失了？"
"H70009","漢人社會活動","認識漢人社會在臺灣的發展，包括聚落、宗教、族群互動等方面。","說明清代漢人如何建立聚落與宗族組織。","漢人來台灣做什麼？｜清代的漢人社會長什麼樣？｜族群之間有衝突嗎？"
"H70010","地方史探究","學習如何以家鄉為主題進行歷史探究，培養歷史研究與整理能力。","請以你居住的地區為例，找出一個與歷史相關的地名或建築。","怎麼進行地方史研究？｜我可以從哪裡找到家鄉的歷史？｜地方歷史和我有什麼關係？"
"H70011","歷史主題探究與發表","透過主題式或跨單元探究，進行歷史研究與口頭或書面發表訓練。","請設計一個歷史小專題，主題與清朝或日本時期臺灣有關。","可以怎麼選一個歷史主題？｜要怎麼找資料？｜我可以怎麼發表研究成果？"
"H70012","殖民統治體制建立","了解日本如何建立統治體制，改變臺灣的行政與法律制度。","日本時期設立了哪些行政制度來治理台灣？","日本怎麼統治台灣？｜制度和清朝有什麼不一樣？｜為什麼要改變法律？"
"H70013","基礎設施與產業政策","認識日本時期建設鐵路、水利等基礎設施，與相關經濟政策。","請舉出日本時期建造的一項基礎建設。","日本人為什麼要建那麼多鐵路？｜殖民政府怎麼發展經濟？｜這些建設對台灣有影響嗎？"
"H70014","「理蕃」政策與原住民族","探討日本時期對原住民族的治理政策與反抗行動。","描述霧社事件的背景與意義。","什麼是理蕃？｜為什麼原住民會反抗？｜日本人怎麼對待原住民？"
"H70015","現代教育與文化運動","了解日本時期的教育制度與文化啟蒙運動。","日本在台灣推行怎樣的教育制度？","什麼是現代教育？｜台灣人能自己辦學校嗎？｜教育政策有什麼影響？"
"H70016","都市文化的出現","認識都市在日本時期的發展，以及都市生活的改變。","舉出一個在日本時期發展的城市並說明其特色。","台灣什麼時候有都市？｜都市跟鄉下有什麼不同？｜都市化是什麼意思？"
"H70017","新舊文化的衝擊與適應","探討傳統與現代文化在日治時期的交融與衝突。","傳統節日如何受到現代觀念的影響？","什麼是文化衝擊？｜台灣人有全盤接受新文化嗎？｜有什麼文化保留下來？"
"H70018","政權轉移與中華民國統治","了解日本戰敗後政權轉移與中華民國接管台灣的歷程。","二戰後台灣是怎麼回到中國統治的？","中華民國怎麼來接收台灣？｜政權交替怎麼進行？｜人們有什麼反應？"
"H70019","二二八事件與白色恐怖","探討二二八事件及其後白色恐怖對台灣社會的影響。","說明二二八事件的原因與結果。","什麼是二二八？｜白色恐怖是什麼意思？｜這些事件對社會有什麼影響？"
"H70020","國家政策下的原住民族","認識戰後原住民族的身份變化與國家政策的關係。","戰後原住民族被稱為什麼？政策有什麼改變？","原住民族被怎麼對待？｜戰後的政策有幫助他們嗎？｜他們的權益有保障嗎？"
"H70021","兩岸關係與國際處境","分析兩岸關係變化對台灣在國際上的地位與影響。","台灣為什麼不能加入聯合國？","台灣和中國的關係怎麼演變？｜國際間怎麼看台灣？｜我們的外交困境是什麼？"
"H70022","經濟發展與結構轉型","了解戰後台灣的經濟建設與產業變遷過程。","請舉出台灣由農業轉向工業的例子。","台灣怎麼從農業國變成工業國？｜經濟奇蹟是什麼？｜我們賺錢的方式有變嗎？"
"H70023","大眾文化的演變","認識電視、電影、流行音樂等大眾文化如何影響社會生活。","請舉出一種曾經在台灣風行的大眾文化。","大眾文化是什麼？｜以前的人都看什麼電視？｜文化有什麼變化？"
"H70024","地方史探究（二）","進一步探究家鄉的歷史議題，提升對地方發展與歷史脈絡的理解。","請調查你家鄉在戰後初期的發展情形。","我可以從哪裡找到家鄉的歷史？｜怎麼做地方探究？｜要問誰？"
"H70025","主題式歷史探究與展演","從指定主題深入研究，結合史料與口述等方式進行探究與成果發表。","選擇一個與當地有關的歷史主題，設計展演方式介紹之。","歷史探究可以怎麼展演？｜要準備哪些資料？｜哪裡找歷史故事？"
"H70026","商周至隋唐的政治與社會變遷","理解中國古代從商周到唐的國家發展與社會制度演變。","說明唐代科舉制度對社會階層的影響。","古代中國怎麼統治？｜商周與唐朝有什麼不同？｜為什麼會有變化？"
"H70027","商周至隋唐的族群文化互動","認識古代中國多元民族互動與文化交流的歷程。","請說明唐代如何與外族互動。","古代也有多民族嗎？｜不同族群會打架還是交流？｜文化怎麼傳播？"
"H70028","宋元的國際互動","了解宋元時期與亞洲各地之間的政治與外交關係。","宋代與哪些國家有聯繫？","宋朝有和外國做朋友嗎？｜元朝是怎麼統治那麼多地區？｜中國古代有外交嗎？"
"H70029","宋元的商貿文化交流","探討宋元時期海陸貿易與文化的互動與發展。","元代時期對外貿易主要透過哪些路線？","宋代有外貿嗎？｜哪些商品外銷？｜文化交流是怎麼進行的？"
"H70030","明清時期的東亞變動","分析明清兩代在東亞地區的外交與戰爭、制度與社會的演變。","清初如何與朝鮮、日本互動？","明清有跟其他國家來往嗎？｜他們是朋友還是敵人？｜變動的原因是什麼？"
"H70031","明清時期的商貿文化交流","了解明清時期的海上貿易與文化影響，如鄭和下西洋、絲路貿易等。","說明明朝與東南亞的貿易情形。","鄭和為什麼要出海？｜明清時期貿易怎麼進行？｜有什麼文化交流？"
"H70032","晚清東西接觸與衝突","探討晚清時期中國與西方列強的接觸、衝突與回應。","列舉兩場影響中國的戰爭與結果。","為什麼會和西方國家打仗？｜中國怎麼回應？｜列強是誰？"
"H70033","甲午戰爭後的政治變革","認識晚清至民初面對內外壓力下的制度改革與政權轉換。","說明戊戌變法與其失敗原因。","甲午戰爭後發生什麼事？｜晚清的改革成功嗎？｜政權是怎麼轉變的？"
"H70034","都市風貌與新媒體出現","理解戰後至今都市化過程與媒體技術進步對人們生活方式的影響。","請說明電視與網路如何改變現代都市生活。","都市生活怎麼變了？｜以前的人怎麼獲得資訊？｜新媒體有什麼影響？"
"H70035","家庭與婦女角色的轉變","探討近代以來家庭結構與性別角色的改變及其社會意涵。","說明婦女在家庭與社會中的角色如何隨時代改變。","以前的家庭跟現在有什麼不同？｜婦女一直都能工作嗎？｜性別角色有什麼變化？"
"H80001","主題式歷史探究（三）","延續前次探究能力，選擇H主題進行深入研究與展演。","請以清末婦女教育為題，設計一份簡報。","主題要怎麼選？｜要做幾頁報告？｜可以訪問長輩嗎？"
"H80002","中華民國的建立","了解辛亥革命背景與中華民國成立的歷史意義。","辛亥革命的發生背景是什麼？","為什麼會推翻清朝？｜中華民國怎麼成立的？｜誰參與革命？"
"H80003","舊制度與新思潮的激盪","認識民初政治混亂與新文化運動的發展。","新文化運動主張了哪些內容？","新思潮是什麼？｜為什麼要反對舊制度？｜五四運動重要嗎？"
"H80004","現代國家的建制與發展","探討現代民主、立憲與國族概念如何建立。","請說明民初政府的制度特色。","現代國家要有什麼制度？｜誰制定法律？｜跟古代有什麼不同？"
"H80005","日本帝國的擴張與挑戰","了解日本近代化與對外侵略帶來的國際衝突。","日本為何發動侵華戰爭？","日本怎麼變強？｜為什麼會打中國？｜世界怎麼看日本？"
"H80006","中華人民共和國的建立","了解1949年中共建政過程與其背景。","國共內戰的結果是什麼？","共產黨怎麼掌握政權？｜為什麼中華民國退到台灣？｜新中國是怎麼建立的？"
"H80007","中共建政後的發展","認識建國初期的政策與社會改造運動。","請說明大躍進的內容與影響。","什麼是人民公社？｜毛澤東推動了哪些政策？｜影響大嗎？"
"H80008","冷戰時期東亞的競合","了解東亞國家在冷戰體系下的政治與外交互動。","請舉例冷戰時期東亞兩國的對立情況。","什麼是冷戰？｜東亞有哪些陣營？｜為什麼會有對抗？"
"H80009","國際組織的發展與影響","認識東南亞與全球國際組織對地區穩定與合作的影響。","請說明聯合國或東協的角色。","什麼是聯合國？｜區域組織做什麼？｜為什麼各國要合作？"
"H80010","主題式歷史探究（四）","從K或L主題挑選合適課題，進行獨立或小組歷史專題製作。","研究民初軍閥割據時期，完成一份報告。","可以做現代的主題嗎？｜小組分工要注意什麼？｜怎麼找史料？"
"H80011","非洲與西亞的早期文化","了解非洲尼羅河流域與西亞兩河流域的古文明。","請舉出一項古埃及的科學成就。","古代非洲有什麼文明？｜金字塔怎麼蓋的？｜兩河是什麼意思？"
"H80012","希臘、羅馬的政治與文化","認識歐洲古代民主制度與哲學、美術等文化遺產。","希臘城邦的政治特色為何？","羅馬怎麼統治帝國？｜古代民主跟現在有關係嗎？｜奧林匹克是哪裡來的？"
"H80013","佛教的起源與發展","了解佛教在印度的創立及其基本教義。","釋迦牟尼是誰？他主張什麼？","佛教怎麼開始的？｜和印度教一樣嗎？｜有幾種佛教？"
"H80014","基督教的起源與發展","探討基督教如何從猶太教分支並成為世界宗教。","基督教如何傳入羅馬帝國？","耶穌是誰？｜基督教和天主教一樣嗎？｜聖經內容是什麼？"
"H80015","伊斯蘭教的起源與發展","認識穆罕默德創教背景與伊斯蘭文明的發展。","伊斯蘭教有哪些基本信仰？","什麼是可蘭經？｜伊斯蘭教和阿拉伯有關嗎？｜信徒需要做什麼？"
"H80016","文藝復興","了解歐洲中古晚期興起的文化復興運動與其影響。","請舉出一位文藝復興的重要人物。","文藝復興是什麼？｜為什麼叫文藝“復興”？｜有哪些改變了歐洲？"
"H80017","宗教改革","認識馬丁路德等人挑戰教會，帶來的信仰與社會變革。","宗教改革有哪些重要結果？","誰挑戰了教皇？｜新教是怎麼出現的？｜有戰爭嗎？"
